,actual,pred
0,conficker,conficker
1,cryptolocker,cryptolocker
2,locky,ramnit
3,ramnit,locky
4,pushdo,pushdo
5,tinba,tinba
6,cryptolocker,cryptolocker
7,tinba,tinba
8,zeus,zeus
9,locky,ramnit
10,banjori,banjori
11,matsnu,matsnu
12,rovnix,rovnix
13,zeus,zeus
14,locky,ramnit
15,ramnit,tinba
16,rovnix,rovnix
17,matsnu,matsnu
18,banjori,banjori
19,conficker,conficker
20,matsnu,matsnu
21,banjori,banjori
22,rovnix,rovnix
23,pushdo,pushdo
24,ramnit,ramnit
25,tinba,tinba
26,tinba,tinba
27,conficker,conficker
28,zeus,zeus
29,tinba,tinba
30,banjori,banjori
31,ramnit,locky
32,tinba,locky
33,locky,conficker
34,rovnix,rovnix
35,rovnix,rovnix
36,conficker,conficker
37,conficker,locky
38,cryptolocker,cryptolocker
39,corebot,corebot
40,locky,ramnit
41,tinba,tinba
42,zeus,zeus
43,conficker,conficker
44,cryptolocker,cryptolocker
45,zeus,zeus
46,matsnu,matsnu
47,pushdo,pushdo
48,rovnix,rovnix
49,locky,locky
50,banjori,banjori
51,cryptolocker,cryptolocker
52,tinba,tinba
53,corebot,corebot
54,zeus,zeus
55,banjori,conficker
56,locky,conficker
57,corebot,corebot
58,locky,locky
59,zeus,zeus
60,corebot,corebot
61,corebot,corebot
62,ramnit,ramnit
63,cryptolocker,cryptolocker
64,zeus,zeus
65,matsnu,matsnu
66,banjori,banjori
67,matsnu,matsnu
68,rovnix,rovnix
69,locky,conficker
70,matsnu,matsnu
71,cryptolocker,cryptolocker
72,tinba,tinba
73,pushdo,pushdo
74,corebot,corebot
75,conficker,conficker
76,tinba,tinba
77,locky,locky
78,zeus,zeus
79,locky,ramnit
80,matsnu,matsnu
81,corebot,corebot
82,matsnu,matsnu
83,banjori,banjori
84,conficker,conficker
85,matsnu,matsnu
86,pushdo,pushdo
87,corebot,corebot
88,zeus,zeus
89,conficker,conficker
90,zeus,zeus
91,pushdo,pushdo
92,tinba,tinba
93,pushdo,pushdo
94,tinba,tinba
95,zeus,zeus
96,conficker,conficker
97,matsnu,matsnu
98,pushdo,pushdo
99,corebot,corebot
100,ramnit,conficker
101,ramnit,ramnit
102,rovnix,rovnix
103,banjori,banjori
104,locky,locky
105,tinba,tinba
106,corebot,corebot
107,corebot,corebot
108,matsnu,matsnu
109,cryptolocker,cryptolocker
110,rovnix,rovnix
111,banjori,banjori
112,pushdo,pushdo
113,rovnix,rovnix
114,cryptolocker,cryptolocker
115,tinba,tinba
116,rovnix,rovnix
117,corebot,corebot
118,corebot,corebot
119,ramnit,ramnit
120,cryptolocker,cryptolocker
121,tinba,tinba
122,tinba,tinba
123,banjori,banjori
124,corebot,corebot
125,ramnit,ramnit
126,tinba,ramnit
127,ramnit,ramnit
128,banjori,banjori
129,ramnit,locky
130,conficker,conficker
131,matsnu,matsnu
132,conficker,conficker
133,cryptolocker,cryptolocker
134,zeus,zeus
135,cryptolocker,cryptolocker
136,pushdo,pushdo
137,tinba,tinba
138,rovnix,rovnix
139,tinba,tinba
140,banjori,banjori
141,matsnu,matsnu
142,locky,locky
143,pushdo,pushdo
144,tinba,tinba
145,tinba,ramnit
146,locky,locky
147,corebot,corebot
148,matsnu,matsnu
149,pushdo,pushdo
150,conficker,conficker
151,tinba,tinba
152,ramnit,ramnit
153,zeus,zeus
154,locky,locky
155,conficker,conficker
156,tinba,tinba
157,banjori,banjori
158,zeus,zeus
159,ramnit,ramnit
160,cryptolocker,cryptolocker
161,ramnit,locky
162,pushdo,pushdo
163,cryptolocker,cryptolocker
164,zeus,zeus
165,cryptolocker,cryptolocker
166,tinba,tinba
167,ramnit,ramnit
168,conficker,tinba
169,corebot,corebot
170,ramnit,ramnit
171,corebot,corebot
172,conficker,locky
173,ramnit,ramnit
174,ramnit,locky
175,matsnu,matsnu
176,matsnu,matsnu
177,locky,locky
178,corebot,corebot
179,ramnit,ramnit
180,locky,locky
181,rovnix,rovnix
182,corebot,corebot
183,corebot,corebot
184,tinba,tinba
185,zeus,zeus
186,conficker,conficker
187,pushdo,pushdo
188,pushdo,pushdo
189,matsnu,matsnu
190,matsnu,matsnu
191,matsnu,matsnu
192,locky,tinba
193,locky,locky
194,pushdo,pushdo
195,matsnu,matsnu
196,rovnix,rovnix
197,ramnit,ramnit
198,corebot,corebot
199,pushdo,pushdo
200,cryptolocker,cryptolocker
201,matsnu,matsnu
202,matsnu,matsnu
203,pushdo,pushdo
204,locky,ramnit
205,conficker,conficker
206,matsnu,matsnu
207,matsnu,matsnu
208,pushdo,pushdo
209,locky,locky
210,locky,ramnit
211,locky,locky
212,matsnu,matsnu
213,matsnu,matsnu
