,actual,pred
0,banjori,banjori
1,banjori,banjori
2,banjori,banjori
3,banjori,banjori
4,banjori,banjori
5,banjori,banjori
6,banjori,banjori
7,banjori,banjori
8,banjori,banjori
9,banjori,banjori
10,banjori,banjori
11,banjori,banjori
12,banjori,banjori
13,banjori,banjori
14,banjori,banjori
15,banjori,banjori
16,banjori,banjori
17,banjori,banjori
18,banjori,banjori
19,banjori,banjori
20,banjori,banjori
21,banjori,banjori
22,banjori,banjori
23,banjori,banjori
24,banjori,banjori
25,banjori,banjori
26,banjori,banjori
27,banjori,banjori
28,banjori,banjori
29,banjori,banjori
30,banjori,banjori
31,banjori,banjori
32,banjori,banjori
33,banjori,banjori
34,banjori,banjori
35,banjori,banjori
36,banjori,banjori
37,banjori,banjori
38,banjori,banjori
39,banjori,banjori
40,banjori,banjori
41,banjori,banjori
42,banjori,banjori
43,banjori,banjori
44,banjori,banjori
45,banjori,banjori
46,banjori,banjori
47,banjori,banjori
48,banjori,banjori
49,banjori,banjori
50,banjori,banjori
51,banjori,banjori
52,banjori,banjori
53,banjori,banjori
54,banjori,banjori
55,banjori,banjori
56,banjori,banjori
57,banjori,banjori
58,banjori,banjori
59,banjori,banjori
60,banjori,banjori
61,banjori,banjori
62,banjori,banjori
63,banjori,banjori
64,banjori,banjori
65,banjori,banjori
66,banjori,banjori
67,banjori,banjori
68,banjori,banjori
69,banjori,banjori
70,banjori,banjori
71,banjori,banjori
72,banjori,banjori
73,banjori,banjori
74,banjori,banjori
75,banjori,banjori
76,banjori,banjori
77,banjori,banjori
78,banjori,banjori
79,banjori,banjori
80,banjori,banjori
81,banjori,banjori
82,banjori,banjori
83,banjori,banjori
84,banjori,banjori
85,banjori,banjori
86,banjori,banjori
87,banjori,banjori
88,banjori,banjori
89,banjori,banjori
90,banjori,banjori
91,banjori,banjori
92,banjori,banjori
93,banjori,banjori
94,banjori,banjori
95,banjori,banjori
96,banjori,banjori
97,banjori,banjori
98,banjori,banjori
99,banjori,banjori
100,banjori,banjori
101,banjori,banjori
102,banjori,banjori
103,banjori,banjori
104,banjori,banjori
105,banjori,banjori
106,banjori,banjori
107,banjori,banjori
108,banjori,banjori
109,banjori,banjori
110,banjori,banjori
111,banjori,banjori
112,banjori,banjori
113,banjori,banjori
114,banjori,banjori
115,banjori,banjori
116,banjori,banjori
117,banjori,banjori
118,banjori,banjori
119,banjori,banjori
120,banjori,banjori
121,banjori,banjori
122,banjori,banjori
123,banjori,banjori
124,banjori,banjori
125,banjori,banjori
126,banjori,banjori
127,banjori,banjori
128,banjori,banjori
129,banjori,banjori
130,banjori,banjori
131,banjori,banjori
132,banjori,banjori
133,banjori,banjori
134,banjori,banjori
135,banjori,banjori
136,banjori,banjori
137,banjori,banjori
138,banjori,banjori
139,banjori,banjori
140,banjori,banjori
141,banjori,banjori
142,banjori,banjori
143,banjori,banjori
144,banjori,banjori
145,banjori,banjori
146,banjori,banjori
147,banjori,banjori
148,banjori,banjori
149,banjori,banjori
150,banjori,banjori
151,banjori,banjori
152,banjori,banjori
153,banjori,banjori
154,banjori,banjori
155,banjori,banjori
156,banjori,banjori
157,banjori,banjori
158,banjori,banjori
159,banjori,banjori
160,banjori,banjori
161,banjori,banjori
162,banjori,banjori
163,banjori,banjori
164,banjori,banjori
165,banjori,banjori
166,banjori,banjori
167,banjori,banjori
168,banjori,banjori
169,banjori,banjori
170,banjori,banjori
171,banjori,banjori
172,banjori,banjori
173,banjori,banjori
174,banjori,banjori
175,banjori,banjori
176,banjori,banjori
177,banjori,banjori
178,banjori,banjori
179,banjori,banjori
180,banjori,banjori
181,banjori,banjori
182,banjori,banjori
183,banjori,banjori
184,banjori,banjori
185,banjori,banjori
186,banjori,banjori
187,banjori,banjori
188,banjori,banjori
189,banjori,banjori
190,banjori,banjori
191,banjori,banjori
192,banjori,banjori
193,banjori,banjori
194,banjori,banjori
195,banjori,banjori
196,banjori,banjori
197,banjori,banjori
198,banjori,banjori
199,banjori,banjori
200,banjori,banjori
201,banjori,banjori
202,banjori,banjori
203,banjori,banjori
204,banjori,banjori
205,banjori,banjori
206,banjori,banjori
207,banjori,banjori
208,banjori,banjori
209,banjori,banjori
210,banjori,banjori
211,banjori,banjori
212,banjori,banjori
213,banjori,banjori
214,banjori,banjori
215,banjori,banjori
216,banjori,banjori
217,banjori,banjori
218,banjori,banjori
219,banjori,banjori
220,banjori,banjori
221,banjori,banjori
222,banjori,banjori
223,banjori,banjori
224,banjori,banjori
225,banjori,banjori
226,banjori,banjori
227,banjori,banjori
228,banjori,banjori
229,banjori,banjori
230,banjori,banjori
231,banjori,banjori
232,banjori,banjori
233,banjori,banjori
234,banjori,banjori
235,banjori,banjori
236,banjori,banjori
237,banjori,banjori
238,banjori,banjori
239,banjori,banjori
240,banjori,banjori
241,banjori,banjori
242,banjori,banjori
243,banjori,banjori
244,banjori,banjori
245,banjori,banjori
246,banjori,banjori
247,banjori,banjori
248,banjori,banjori
249,banjori,banjori
250,banjori,banjori
251,banjori,banjori
252,banjori,banjori
