,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,new_goz,zeus,rovnix,ramdo,cryptolocker,banjori,goz,dircrypt,corebot,ramnit,kraken,pykspa,pushdo,conficker,tinba,simda,simda
1,banjori,pushdo,rovnix,new_goz,goz,pykspa,conficker,kraken,simda,tinba,dircrypt,corebot,cryptolocker,zeus,ramnit,ramdo,tinba
2,banjori,kraken,pushdo,rovnix,pykspa,simda,conficker,ramdo,tinba,ramnit,corebot,dircrypt,new_goz,cryptolocker,zeus,goz,new_goz
3,banjori,zeus,cryptolocker,new_goz,rovnix,kraken,ramdo,dircrypt,corebot,ramnit,pykspa,conficker,tinba,goz,pushdo,simda,pushdo
4,banjori,pushdo,kraken,rovnix,pykspa,conficker,simda,ramdo,tinba,ramnit,dircrypt,cryptolocker,goz,corebot,zeus,new_goz,zeus
5,banjori,kraken,rovnix,pushdo,pykspa,simda,ramdo,conficker,ramnit,tinba,dircrypt,cryptolocker,goz,new_goz,corebot,zeus,new_goz
6,banjori,ramdo,rovnix,new_goz,kraken,pushdo,zeus,pykspa,simda,dircrypt,conficker,corebot,ramnit,cryptolocker,tinba,goz,ramnit
7,banjori,rovnix,kraken,ramdo,pushdo,tinba,zeus,pykspa,cryptolocker,conficker,new_goz,corebot,dircrypt,simda,ramnit,goz,cryptolocker
8,banjori,rovnix,pushdo,pykspa,kraken,ramdo,dircrypt,conficker,goz,ramnit,cryptolocker,simda,new_goz,zeus,tinba,corebot,corebot
9,new_goz,banjori,pushdo,goz,corebot,conficker,dircrypt,pykspa,rovnix,ramdo,zeus,cryptolocker,ramnit,tinba,simda,kraken,kraken
10,banjori,kraken,pushdo,ramdo,pykspa,simda,conficker,tinba,corebot,ramnit,cryptolocker,new_goz,dircrypt,zeus,rovnix,goz,banjori
11,banjori,kraken,pushdo,pykspa,conficker,rovnix,simda,ramnit,tinba,ramdo,dircrypt,cryptolocker,goz,corebot,new_goz,zeus,new_goz
12,banjori,pushdo,rovnix,pykspa,new_goz,kraken,conficker,goz,simda,ramdo,ramnit,tinba,zeus,dircrypt,corebot,cryptolocker,dircrypt
13,banjori,pushdo,rovnix,simda,conficker,pykspa,kraken,ramdo,new_goz,tinba,dircrypt,goz,corebot,ramnit,zeus,cryptolocker,cryptolocker
14,banjori,ramdo,new_goz,pushdo,rovnix,kraken,dircrypt,ramnit,corebot,conficker,pykspa,zeus,goz,simda,cryptolocker,tinba,tinba
15,corebot,zeus,banjori,new_goz,ramdo,pushdo,dircrypt,ramnit,cryptolocker,goz,kraken,conficker,tinba,pykspa,rovnix,simda,banjori
16,banjori,pushdo,rovnix,kraken,pykspa,simda,ramdo,conficker,new_goz,ramnit,corebot,cryptolocker,tinba,dircrypt,goz,zeus,dircrypt
17,banjori,zeus,new_goz,rovnix,goz,dircrypt,ramdo,kraken,cryptolocker,ramnit,corebot,conficker,pykspa,pushdo,tinba,simda,pushdo
18,banjori,kraken,pushdo,rovnix,pykspa,conficker,simda,tinba,ramnit,ramdo,dircrypt,cryptolocker,goz,corebot,zeus,new_goz,zeus
19,banjori,rovnix,new_goz,pushdo,ramdo,kraken,cryptolocker,pykspa,zeus,goz,dircrypt,ramnit,simda,conficker,corebot,tinba,pykspa
20,banjori,ramdo,rovnix,kraken,pushdo,new_goz,simda,pykspa,dircrypt,zeus,conficker,corebot,ramnit,cryptolocker,tinba,goz,ramnit
21,banjori,pushdo,kraken,ramdo,corebot,simda,new_goz,rovnix,pykspa,conficker,ramnit,tinba,dircrypt,zeus,cryptolocker,goz,ramnit
22,new_goz,zeus,banjori,goz,cryptolocker,rovnix,corebot,dircrypt,ramdo,ramnit,pykspa,kraken,pushdo,conficker,tinba,simda,simda
23,banjori,pushdo,kraken,rovnix,pykspa,conficker,simda,ramdo,ramnit,tinba,dircrypt,goz,cryptolocker,corebot,new_goz,zeus,new_goz
